id,type,group,name
186,7,locSrv,x
187,7,locSrv,y
188,7,locSrv,z
189,7,locSrv,qx
190,7,locSrv,qy
191,7,locSrv,qz
192,7,locSrv,qw
193,2,locSrvZ,tick
194,2,crtp,rxRate
195,2,crtp,txRate
196,1,kalman,inFlight
197,7,kalman,stateX
198,7,kalman,stateY
199,7,kalman,stateZ
200,7,kalman,statePX
201,7,kalman,statePY
202,7,kalman,statePZ
203,7,kalman,stateD0
204,7,kalman,stateD1
205,7,kalman,stateD2
206,7,kalman,varX
207,7,kalman,varY
208,7,kalman,varZ
209,7,kalman,varPX
210,7,kalman,varPY
211,7,kalman,varPZ
212,7,kalman,varD0
213,7,kalman,varD1
214,7,kalman,varD2
215,7,kalman,q0
216,7,kalman,q1
217,7,kalman,q2
218,7,kalman,q3
219,7,kalman,rtUpdate
220,7,kalman,rtPred
221,7,kalman,rtFinal
222,6,outlierf,lhWin
223,6,outlierf,bucket0
224,6,outlierf,bucket1
225,6,outlierf,bucket2
226,6,outlierf,bucket3
227,6,outlierf,bucket4
228,7,outlierf,accLev
229,7,outlierf,errD
230,7,estimator,rtApnd
231,7,estimator,rtRej
232,7,extrx,thrust
233,7,extrx,roll
234,7,extrx,pitch
235,7,extrx,yawRate
236,7,extrx,zVel
237,1,extrx,AltHold
238,1,extrx,Arm
239,2,extrx_raw,ch0
240,2,extrx_raw,ch1
241,2,extrx_raw,ch2
242,2,extrx_raw,ch3
243,2,extrx_raw,ch4
244,2,extrx_raw,ch5
245,2,extrx_raw,ch6
246,2,extrx_raw,ch7
247,7,health,motorVarXM1
248,7,health,motorVarYM1
249,7,health,motorVarXM2
250,7,health,motorVarYM2
251,7,health,motorVarXM3
252,7,health,motorVarYM3
253,7,health,motorVarXM4
254,7,health,motorVarYM4
255,1,health,motorPass
256,7,health,batterySag
257,1,health,batteryPass
258,2,health,motorTestCount
259,3,memTst,errCntW
260,7,posCtrlIndi,posRef_x
261,7,posCtrlIndi,posRef_y
262,7,posCtrlIndi,posRef_z
263,7,posCtrlIndi,velS_x
264,7,posCtrlIndi,velS_y
265,7,posCtrlIndi,velS_z
266,7,posCtrlIndi,velRef_x
267,7,posCtrlIndi,velRef_y
268,7,posCtrlIndi,velRef_z
269,7,posCtrlIndi,angS_roll
270,7,posCtrlIndi,angS_pitch
271,7,posCtrlIndi,angS_yaw
272,7,posCtrlIndi,angF_roll
273,7,posCtrlIndi,angF_pitch
274,7,posCtrlIndi,angF_yaw
275,7,posCtrlIndi,accRef_x
276,7,posCtrlIndi,accRef_y
277,7,posCtrlIndi,accRef_z
278,7,posCtrlIndi,accS_x
279,7,posCtrlIndi,accS_y
280,7,posCtrlIndi,accS_z
281,7,posCtrlIndi,accF_x
282,7,posCtrlIndi,accF_y
283,7,posCtrlIndi,accF_z
284,7,posCtrlIndi,accFT_x
285,7,posCtrlIndi,accFT_y
286,7,posCtrlIndi,accFT_z
287,7,posCtrlIndi,accErr_x
288,7,posCtrlIndi,accErr_y
289,7,posCtrlIndi,accErr_z
290,7,posCtrlIndi,phi_tilde
291,7,posCtrlIndi,theta_tilde
292,7,posCtrlIndi,T_tilde
293,7,posCtrlIndi,T_inner
294,7,posCtrlIndi,T_inner_f
295,7,posCtrlIndi,T_incremented
296,7,posCtrlIndi,cmd_phi
297,7,posCtrlIndi,cmd_theta
298,7,posCtl,targetVX
299,7,posCtl,targetVY
300,7,posCtl,targetVZ
301,7,posCtl,targetX
302,7,posCtl,targetY
303,7,posCtl,targetZ
304,7,posCtl,bodyVX
305,7,posCtl,bodyVY
306,7,posCtl,bodyX
307,7,posCtl,bodyY
308,7,posCtl,Yp
309,7,posCtl,Yi
310,7,posCtl,Yd
311,7,posCtl,Zp
312,7,posCtl,Zi
313,7,posCtl,Zd
314,7,posCtl,VXp
315,7,posCtl,VXi
316,7,posCtl,VXd
317,7,posCtl,VZp
318,7,posCtl,VZi
319,7,posCtl,VZd
320,7,posEstAlt,estimatedZ
321,7,posEstAlt,estVZ
322,7,posEstAlt,velocityZ
323,2,range,front
324,2,range,back
325,2,range,up
326,2,range,left
327,2,range,right
328,2,range,zrange
329,7,sensfusion6,qw
330,7,sensfusion6,qx
331,7,sensfusion6,qy
332,7,sensfusion6,qz
333,7,sensfusion6,gravityX
334,7,sensfusion6,gravityY
335,7,sensfusion6,gravityZ
336,7,sensfusion6,accZbase
337,1,sensfusion6,isInit
338,1,sensfusion6,isCalibrated
339,7,acc,x
340,7,acc,y
341,7,acc,z
342,7,baro,asl
343,7,baro,temp
344,7,baro,pressure
345,7,ctrltarget,x
346,7,ctrltarget,y
347,7,ctrltarget,z
348,7,ctrltarget,vx
349,7,ctrltarget,vy
350,7,ctrltarget,vz
351,7,ctrltarget,ax
352,7,ctrltarget,ay
353,7,ctrltarget,az
354,7,ctrltarget,roll
355,7,ctrltarget,pitch
356,7,ctrltarget,yaw
357,5,ctrltargetZ,x
358,5,ctrltargetZ,y
359,5,ctrltargetZ,z
360,5,ctrltargetZ,vx
361,5,ctrltargetZ,vy
362,5,ctrltargetZ,vz
363,5,ctrltargetZ,ax
364,5,ctrltargetZ,ay
365,5,ctrltargetZ,az
366,7,mag,x
367,7,mag,y
368,7,mag,z
369,7,stabilizer,roll
370,7,stabilizer,pitch
371,7,stabilizer,yaw
372,7,stabilizer,thrust
373,7,stabilizer,rtStab
374,3,stabilizer,intToOut
375,7,stateEstimate,x
376,7,stateEstimate,y
377,7,stateEstimate,z
378,7,stateEstimate,vx
379,7,stateEstimate,vy
380,7,stateEstimate,vz
381,7,stateEstimate,ax
382,7,stateEstimate,ay
383,7,stateEstimate,az
384,7,stateEstimate,roll
385,7,stateEstimate,pitch
386,7,stateEstimate,yaw
387,7,stateEstimate,qx
388,7,stateEstimate,qy
389,7,stateEstimate,qz
390,7,stateEstimate,qw
391,5,stateEstimateZ,x
392,5,stateEstimateZ,y
393,5,stateEstimateZ,z
394,5,stateEstimateZ,vx
395,5,stateEstimateZ,vy
396,5,stateEstimateZ,vz
397,5,stateEstimateZ,ax
398,5,stateEstimateZ,ay
399,5,stateEstimateZ,az
400,3,stateEstimateZ,quat
401,5,stateEstimateZ,rateRoll
402,5,stateEstimateZ,ratePitch
403,5,stateEstimateZ,rateYaw
404,1,sys,canfly
405,1,sys,isFlying
406,1,sys,isTumbled
407,4,sys,armed
408,7,tdoaEngine,stRx
409,7,tdoaEngine,stEst
410,7,tdoaEngine,stTime
411,7,tdoaEngine,stFound
412,7,tdoaEngine,stCc
413,7,tdoaEngine,stHit
414,7,tdoaEngine,stMiss
415,7,tdoaEngine,cc
416,2,tdoaEngine,tof
417,7,tdoaEngine,tdoa
418,1,DTR_P2P,rx_state
419,1,DTR_P2P,tx_state
420,7,kalman_pred,predNX
421,7,kalman_pred,predNY
422,7,kalman_pred,measNX
423,7,kalman_pred,measNY
424,1,lighthouse,validAngles
425,7,lighthouse,rawAngle0x
426,7,lighthouse,rawAngle0y
427,7,lighthouse,rawAngle1x
428,7,lighthouse,rawAngle1y
429,7,lighthouse,angle0x
430,7,lighthouse,angle0y
431,7,lighthouse,angle1x
432,7,lighthouse,angle1y
433,7,lighthouse,angle0x_1
434,7,lighthouse,angle0y_1
435,7,lighthouse,angle1x_1
436,7,lighthouse,angle1y_1
437,7,lighthouse,angle0x_2
438,7,lighthouse,angle0y_2
439,7,lighthouse,angle1x_2
440,7,lighthouse,angle1y_2
441,7,lighthouse,angle0x_3
442,7,lighthouse,angle0y_3
443,7,lighthouse,angle1x_3
444,7,lighthouse,angle1y_3
445,7,lighthouse,rawAngle0xlh2
446,7,lighthouse,rawAngle0ylh2
447,7,lighthouse,rawAngle1xlh2
448,7,lighthouse,rawAngle1ylh2
449,7,lighthouse,angle0x_0lh2
450,7,lighthouse,angle0y_0lh2
451,7,lighthouse,angle1x_0lh2
452,7,lighthouse,angle1y_0lh2
453,7,lighthouse,serRt
454,7,lighthouse,frmRt
455,7,lighthouse,cycleRt
456,7,lighthouse,bs0Rt
457,7,lighthouse,bs1Rt
458,2,lighthouse,width0
459,2,lighthouse,width1
460,2,lighthouse,width2
461,2,lighthouse,width3
462,1,lighthouse,comSync
463,2,lighthouse,bsAvailable
464,2,lighthouse,bsReceive
465,2,lighthouse,bsActive
466,2,lighthouse,bsCalUd
467,2,lighthouse,bsCalCon
468,1,lighthouse,status
469,7,lighthouse,posRt
470,7,lighthouse,estBs0Rt
471,7,lighthouse,estBs1Rt
472,7,lighthouse,x
473,7,lighthouse,y
474,7,lighthouse,z
475,7,lighthouse,delta
476,2,lighthouse,bsGeoVal
477,2,lighthouse,bsCalVal
