id,type,group,name
185,7,controller,yawRate
186,5,controller,ctr_yaw
187,7,ext_pos,X
188,7,ext_pos,Y
189,7,ext_pos,Z
190,7,locSrv,x
191,7,locSrv,y
192,7,locSrv,z
193,7,locSrv,qx
194,7,locSrv,qy
195,7,locSrv,qz
196,7,locSrv,qw
197,2,locSrvZ,tick
198,2,crtp,rxRate
199,2,crtp,txRate
200,1,kalman,inFlight
201,7,kalman,stateX
202,7,kalman,stateY
203,7,kalman,stateZ
204,7,kalman,statePX
205,7,kalman,statePY
206,7,kalman,statePZ
207,7,kalman,stateD0
208,7,kalman,stateD1
209,7,kalman,stateD2
210,7,kalman,varX
211,7,kalman,varY
212,7,kalman,varZ
213,7,kalman,varPX
214,7,kalman,varPY
215,7,kalman,varPZ
216,7,kalman,varD0
217,7,kalman,varD1
218,7,kalman,varD2
219,7,kalman,q0
220,7,kalman,q1
221,7,kalman,q2
222,7,kalman,q3
223,7,kalman,rtUpdate
224,7,kalman,rtPred
225,7,kalman,rtFinal
226,6,outlierf,lhWin
227,6,outlierf,bucket0
228,6,outlierf,bucket1
229,6,outlierf,bucket2
230,6,outlierf,bucket3
231,6,outlierf,bucket4
232,7,outlierf,accLev
233,7,outlierf,errD
234,7,estimator,rtApnd
235,7,estimator,rtRej
236,7,extrx,thrust
237,7,extrx,roll
238,7,extrx,pitch
239,7,extrx,rollRate
240,7,extrx,pitchRate
241,7,extrx,yawRate
242,7,extrx,zVel
243,1,extrx,AltHold
244,1,extrx,Arm
245,2,extrx_raw,ch0
246,2,extrx_raw,ch1
247,2,extrx_raw,ch2
248,2,extrx_raw,ch3
249,2,extrx_raw,ch4
250,2,extrx_raw,ch5
251,2,extrx_raw,ch6
252,2,extrx_raw,ch7
253,7,health,motorVarXM1
254,7,health,motorVarYM1
255,7,health,motorVarXM2
256,7,health,motorVarYM2
257,7,health,motorVarXM3
258,7,health,motorVarYM3
259,7,health,motorVarXM4
260,7,health,motorVarYM4
261,1,health,motorPass
262,7,health,batterySag
263,1,health,batteryPass
264,2,health,motorTestCount
265,3,memTst,errCntW
266,7,posCtrlIndi,posRef_x
267,7,posCtrlIndi,posRef_y
268,7,posCtrlIndi,posRef_z
269,7,posCtrlIndi,velS_x
270,7,posCtrlIndi,velS_y
271,7,posCtrlIndi,velS_z
272,7,posCtrlIndi,velRef_x
273,7,posCtrlIndi,velRef_y
274,7,posCtrlIndi,velRef_z
275,7,posCtrlIndi,angS_roll
276,7,posCtrlIndi,angS_pitch
277,7,posCtrlIndi,angS_yaw
278,7,posCtrlIndi,angF_roll
279,7,posCtrlIndi,angF_pitch
280,7,posCtrlIndi,angF_yaw
281,7,posCtrlIndi,accRef_x
282,7,posCtrlIndi,accRef_y
283,7,posCtrlIndi,accRef_z
284,7,posCtrlIndi,accS_x
285,7,posCtrlIndi,accS_y
286,7,posCtrlIndi,accS_z
287,7,posCtrlIndi,accF_x
288,7,posCtrlIndi,accF_y
289,7,posCtrlIndi,accF_z
290,7,posCtrlIndi,accFT_x
291,7,posCtrlIndi,accFT_y
292,7,posCtrlIndi,accFT_z
293,7,posCtrlIndi,accErr_x
294,7,posCtrlIndi,accErr_y
295,7,posCtrlIndi,accErr_z
296,7,posCtrlIndi,phi_tilde
297,7,posCtrlIndi,theta_tilde
298,7,posCtrlIndi,T_tilde
299,7,posCtrlIndi,T_inner
300,7,posCtrlIndi,T_inner_f
301,7,posCtrlIndi,T_incremented
302,7,posCtrlIndi,cmd_phi
303,7,posCtrlIndi,cmd_theta
304,7,posCtl,targetVX
305,7,posCtl,targetVY
306,7,posCtl,targetVZ
307,7,posCtl,targetX
308,7,posCtl,targetY
309,7,posCtl,targetZ
310,7,posCtl,bodyVX
311,7,posCtl,bodyVY
312,7,posCtl,bodyX
313,7,posCtl,bodyY
314,7,posCtl,Xp
315,7,posCtl,Xi
316,7,posCtl,Xd
317,7,posCtl,Xff
318,7,posCtl,Yp
319,7,posCtl,Yi
320,7,posCtl,Yd
321,7,posCtl,Yff
322,7,posCtl,Zp
323,7,posCtl,Zi
324,7,posCtl,Zd
325,7,posCtl,Zff
326,7,posCtl,VXp
327,7,posCtl,VXi
328,7,posCtl,VXd
329,7,posCtl,VXff
330,7,posCtl,VYp
331,7,posCtl,VYi
332,7,posCtl,VYd
333,7,posCtl,VYff
334,7,posCtl,VZp
335,7,posCtl,VZi
336,7,posCtl,VZd
337,7,posCtl,VZff
338,7,posEstAlt,estimatedZ
339,7,posEstAlt,estVZ
340,7,posEstAlt,velocityZ
341,2,range,front
342,2,range,back
343,2,range,up
344,2,range,left
345,2,range,right
346,2,range,zrange
347,7,sensfusion6,qw
348,7,sensfusion6,qx
349,7,sensfusion6,qy
350,7,sensfusion6,qz
351,7,sensfusion6,gravityX
352,7,sensfusion6,gravityY
353,7,sensfusion6,gravityZ
354,7,sensfusion6,accZbase
355,1,sensfusion6,isInit
356,1,sensfusion6,isCalibrated
357,7,acc,x
358,7,acc,y
359,7,acc,z
360,7,baro,asl
361,7,baro,temp
362,7,baro,pressure
363,7,ctrltarget,x
364,7,ctrltarget,y
365,7,ctrltarget,z
366,7,ctrltarget,vx
367,7,ctrltarget,vy
368,7,ctrltarget,vz
369,7,ctrltarget,ax
370,7,ctrltarget,ay
371,7,ctrltarget,az
372,7,ctrltarget,roll
373,7,ctrltarget,pitch
374,7,ctrltarget,yaw
375,5,ctrltargetZ,x
376,5,ctrltargetZ,y
377,5,ctrltargetZ,z
378,5,ctrltargetZ,vx
379,5,ctrltargetZ,vy
380,5,ctrltargetZ,vz
381,5,ctrltargetZ,ax
382,5,ctrltargetZ,ay
383,5,ctrltargetZ,az
384,7,mag,x
385,7,mag,y
386,7,mag,z
387,7,stabilizer,roll
388,7,stabilizer,pitch
389,7,stabilizer,yaw
390,7,stabilizer,thrust
391,7,stabilizer,rtStab
392,3,stabilizer,intToOut
393,7,stateEstimate,x
394,7,stateEstimate,y
395,7,stateEstimate,z
396,7,stateEstimate,vx
397,7,stateEstimate,vy
398,7,stateEstimate,vz
399,7,stateEstimate,ax
400,7,stateEstimate,ay
401,7,stateEstimate,az
402,7,stateEstimate,roll
403,7,stateEstimate,pitch
404,7,stateEstimate,yaw
405,7,stateEstimate,qx
406,7,stateEstimate,qy
407,7,stateEstimate,qz
408,7,stateEstimate,qw
409,5,stateEstimateZ,x
410,5,stateEstimateZ,y
411,5,stateEstimateZ,z
412,5,stateEstimateZ,vx
413,5,stateEstimateZ,vy
414,5,stateEstimateZ,vz
415,5,stateEstimateZ,ax
416,5,stateEstimateZ,ay
417,5,stateEstimateZ,az
418,3,stateEstimateZ,quat
419,5,stateEstimateZ,rateRoll
420,5,stateEstimateZ,ratePitch
421,5,stateEstimateZ,rateYaw
422,1,sys,canfly
423,1,sys,isFlying
424,1,sys,isTumbled
425,4,sys,armed
426,7,tdoaEngine,stRx
427,7,tdoaEngine,stEst
428,7,tdoaEngine,stTime
429,7,tdoaEngine,stFound
430,7,tdoaEngine,stCc
431,7,tdoaEngine,stHit
432,7,tdoaEngine,stMiss
433,7,tdoaEngine,cc
434,2,tdoaEngine,tof
435,7,tdoaEngine,tdoa
436,1,DTR_P2P,rx_state
437,1,DTR_P2P,tx_state
438,7,kalman_pred,predNX
439,7,kalman_pred,predNY
440,7,kalman_pred,measNX
441,7,kalman_pred,measNY
442,1,lighthouse,validAngles
443,7,lighthouse,rawAngle0x
444,7,lighthouse,rawAngle0y
445,7,lighthouse,rawAngle1x
446,7,lighthouse,rawAngle1y
447,7,lighthouse,angle0x
448,7,lighthouse,angle0y
449,7,lighthouse,angle1x
450,7,lighthouse,angle1y
451,7,lighthouse,angle0x_1
452,7,lighthouse,angle0y_1
453,7,lighthouse,angle1x_1
454,7,lighthouse,angle1y_1
455,7,lighthouse,angle0x_2
456,7,lighthouse,angle0y_2
457,7,lighthouse,angle1x_2
458,7,lighthouse,angle1y_2
459,7,lighthouse,angle0x_3
460,7,lighthouse,angle0y_3
461,7,lighthouse,angle1x_3
462,7,lighthouse,angle1y_3
463,7,lighthouse,rawAngle0xlh2
464,7,lighthouse,rawAngle0ylh2
465,7,lighthouse,rawAngle1xlh2
466,7,lighthouse,rawAngle1ylh2
467,7,lighthouse,angle0x_0lh2
468,7,lighthouse,angle0y_0lh2
469,7,lighthouse,angle1x_0lh2
470,7,lighthouse,angle1y_0lh2
471,2,lighthouse,width0
472,2,lighthouse,width1
473,2,lighthouse,width2
474,2,lighthouse,width3
475,1,lighthouse,comSync
476,2,lighthouse,bsAvailable
477,2,lighthouse,bsReceive
478,2,lighthouse,bsActive
479,2,lighthouse,bsCalUd
480,2,lighthouse,bsCalCon
481,1,lighthouse,status
482,7,lighthouse,posRt
483,7,lighthouse,estBs0Rt
484,7,lighthouse,estBs1Rt
485,7,lighthouse,x
486,7,lighthouse,y
487,7,lighthouse,z
488,7,lighthouse,delta
489,2,lighthouse,bsGeoVal
490,2,lighthouse,bsCalVal
491,7,lighthouse,disProb
